OBJECTID,Survey,Spp_Name,Number_,Len1,Len2,Len3,Len4,Len5,Len6,Len7,Len8,Len9,Len10,Len11,Len12,Len13,Len14,Len15,Len16,Len17,Len18,Len19,Len20
2475,FKM09030101,Atherinomorus stipes,45,50,45,47,49,50,50,50,46,43,46,,,,,,,,,,
2476,FKM09030101,Ostraciidae spp.,2,8,4,,,,,,,,,,,,,,,,,,
2477,FKM09030101,Bathygobius soporator,1,29,,,,,,,,,,,,,,,,,,,
2478,FKM09030101,Syngnathus scovelli,1,80,,,,,,,,,,,,,,,,,,,
2479,FKM09030101,Synodus foetens,1,25,,,,,,,,,,,,,,,,,,,
2480,FKM09030102,Ostraciidae spp.,1,7,,,,,,,,,,,,,,,,,,,
2481,FKM09030102,Lagodon rhomboides,9,21,24,26,22,21,21,18,21,23,,,,,,,,,,,
2482,FKM09030102,Calamus spp.,2,20,23,,,,,,,,,,,,,,,,,,
2483,FKM09030102,Bathygobius soporator,1,25,,,,,,,,,,,,,,,,,,,
2484,FKM09030102,Farfantepenaeus duorarum,1,9,,,,,,,,,,,,,,,,,,,
2485,FKM09030103,Lactophrys trigonus,2,94,90,,,,,,,,,,,,,,,,,,
2486,FKM09030103,Syngnathus scovelli,1,110,,,,,,,,,,,,,,,,,,,
2487,FKM09030103,Calamus spp.,1,17,,,,,,,,,,,,,,,,,,,
2488,FKM09030103,Synodus foetens,2,42,60,,,,,,,,,,,,,,,,,,
2489,FKM09030103,Paralichthys albigutta,1,55,,,,,,,,,,,,,,,,,,,
2490,FKM09030103,Farfantepenaeus duorarum,1,6,,,,,,,,,,,,,,,,,,,
2491,FKM09030104,Synodus foetens,1,75,,,,,,,,,,,,,,,,,,,
2492,FKM09030104,Lagodon rhomboides,2,20,17,,,,,,,,,,,,,,,,,,
2493,FKM09030105,Synodus foetens,2,50,34,,,,,,,,,,,,,,,,,,
2494,FKM09030105,Eucinostomus spp.,10,34,28,39,30,35,32,40,38,35,32,,,,,,,,,,
2495,FKM09030105,Calamus spp.,1,17,,,,,,,,,,,,,,,,,,,
2496,FKM09030105,Stephanolepis hispidus,2,28,38,,,,,,,,,,,,,,,,,,
2497,FKM09030106,Sphoeroides nephelus,1,85,,,,,,,,,,,,,,,,,,,
2498,FKM09030106,Stephanolepis hispidus,2,37,38,,,,,,,,,,,,,,,,,,
2499,FKM09030106,Syngnathus floridae,1,127,,,,,,,,,,,,,,,,,,,
2500,FKM09030106,Calamus arctifrons,1,55,,,,,,,,,,,,,,,,,,,
2501,FKM09030106,Haemulon spp.,5,17,18,20,18,18,,,,,,,,,,,,,,,
2502,FKM09030106,Lagodon rhomboides,2,26,20,,,,,,,,,,,,,,,,,,
2503,FKM09030106,Eucinostomus spp.,1,38,,,,,,,,,,,,,,,,,,,
2504,FKM09030106,Haemulon sciurus,8,20,22,20,20,19,22,19,20,,,,,,,,,,,,
2505,FKM09030107,Acanthostracion quadricornis,6,120,130,135,130,70,60,,,,,,,,,,,,,,
2506,FKM09030107,Lactophrys trigonus,1,27,,,,,,,,,,,,,,,,,,,
2507,FKM09030107,Lagodon rhomboides,1,20,,,,,,,,,,,,,,,,,,,
2508,FKM09030108,Lagodon rhomboides,128,20,23,29,40,19,19,20,22,35,35,,,,,,,,,,
2509,FKM09030108,Ocyurus chrysurus,1,21,,,,,,,,,,,,,,,,,,,
2510,FKM09030108,Sphoeroides nephelus,2,48,45,,,,,,,,,,,,,,,,,,
2511,FKM09030108,Synodus foetens,1,35,,,,,,,,,,,,,,,,,,,
2512,FKM09030108,Lactophrys trigonus,1,85,,,,,,,,,,,,,,,,,,,
2513,FKM09030108,Lutjanus griseus,2,43,45,,,,,,,,,,,,,,,,,,
2514,FKM09030108,Farfantepenaeus duorarum,1,8,,,,,,,,,,,,,,,,,,,
2515,FKM09030109,Bathygobius soporator,24,45,23,25,19,28,25,30,19,30,30,,,,,,,,,,
2516,FKM09030109,Acanthostracion quadricornis,1,120,,,,,,,,,,,,,,,,,,,
2517,FKM09030109,Diplogrammus pauciradiatus,1,44,,,,,,,,,,,,,,,,,,,
2518,FKM09030109,Syngnathus scovelli,1,112,,,,,,,,,,,,,,,,,,,
2519,FKM09030109,Bothus ocellatus,3,19,15,12,,,,,,,,,,,,,,,,,
2520,FKM09030109,Lutjanus griseus,1,72,,,,,,,,,,,,,,,,,,,
2521,FKM09030109,Synodus foetens,1,67,,,,,,,,,,,,,,,,,,,
2522,FKM09030109,Paraclinus spp.,1,30,,,,,,,,,,,,,,,,,,,
2523,FKM09030109,Farfantepenaeus duorarum,1,5,,,,,,,,,,,,,,,,,,,
2524,FKM08050101,Syngnathus scovelli,2,100,112,,,,,,,,,,,,,,,,,,
2525,FKM08050101,Haemulon spp.,1,14,,,,,,,,,,,,,,,,,,,
2526,FKM08050101,Sphoeroides nephelus,1,58,,,,,,,,,,,,,,,,,,,
2527,FKM08050101,Sphoeroides spengleri,1,41,,,,,,,,,,,,,,,,,,,
2528,FKM08050101,Malacoctenus macropus,1,36,,,,,,,,,,,,,,,,,,,
2529,FKM08050102,Floridichthys carpio,10,14,14,12,15,15,16,18,12,16,15,,,,,,,,,,
2530,FKM08050102,Eucinostomus spp.,1,22,,,,,,,,,,,,,,,,,,,
2531,FKM08050102,Ctenogobius boleosoma,1,35,,,,,,,,,,,,,,,,,,,
2532,FKM08050102,Ctenogobius saepepallens,1,29,,,,,,,,,,,,,,,,,,,
2533,FKM08050103,Eucinostomus spp.,11,35,37,35,22,36,38,33,39,30,16,,,,,,,,,,
2534,FKM08050103,Lagodon rhomboides,9,55,35,36,39,41,36,16,34,30,,,,,,,,,,,
2535,FKM08050103,Sphoeroides nephelus,1,67,,,,,,,,,,,,,,,,,,,
2536,FKM08050103,Calamus arctifrons,1,48,,,,,,,,,,,,,,,,,,,
2537,FKM08050103,Lutjanus griseus,1,60,,,,,,,,,,,,,,,,,,,
2538,FKM08050103,Haemulon parra,1,35,,,,,,,,,,,,,,,,,,,
2539,FKM08050103,Haemulon spp.,4,21,20,20,20,,,,,,,,,,,,,,,,
2540,FKM08050103,Lucania parva,2,20,30,,,,,,,,,,,,,,,,,,
2541,FKM08050104,Sphyraena barracuda,3,43,55,49,,,,,,,,,,,,,,,,,
2542,FKM08050104,Eucinostomus spp.,4,35,35,32,26,,,,,,,,,,,,,,,,
2543,FKM08050104,Lagodon rhomboides,1,20,,,,,,,,,,,,,,,,,,,
2544,FKM08050105,Eucinostomus spp.,20,31,39,35,37,34,36,39,35,38,31,,,,,,,,,,
2545,FKM08050105,Eucinostomus jonesii,23,52,52,68,55,67,50,60,50,45,54,,,,,,,,,,
2546,FKM08050105,Acanthostracion quadricornis,1,68,,,,,,,,,,,,,,,,,,,
2547,FKM08050105,Eucinostomus lefroyi,4,67,59,55,48,,,,,,,,,,,,,,,,
2548,FKM08050105,Eucinostomus gula,1,65,,,,,,,,,,,,,,,,,,,
2549,FKM08050105,Synodus foetens,1,40,,,,,,,,,,,,,,,,,,,
2550,FKM08050106,Lucania parva,4,41,30,35,44,,,,,,,,,,,,,,,,
2551,FKM08050106,Eucinostomus gula,1,60,,,,,,,,,,,,,,,,,,,
2552,FKM08050106,Sparisoma chrysopterum,1,98,,,,,,,,,,,,,,,,,,,
2553,FKM08050106,Syngnathus scovelli,1,100,,,,,,,,,,,,,,,,,,,
2554,FKM08050106,Floridichthys carpio,24,42,39,34,41,44,40,39,38,40,40,,,,,,,,,,
2555,FKM08050106,Sphyraena barracuda,2,58,30,,,,,,,,,,,,,,,,,,
2556,FKM08050106,Eucinostomus spp.,25,15,31,15,28,22,39,26,28,15,25,,,,,,,,,,
2557,FKM08050106,Ostraciidae spp.,1,12,,,,,,,,,,,,,,,,,,,
2558,FKM08050106,Lagodon rhomboides,1,15,,,,,,,,,,,,,,,,,,,
2559,FKM08050106,Mycteroperca bonaci,1,21,,,,,,,,,,,,,,,,,,,
2560,FKM08050106,Syngnathus scovelli,1,57,,,,,,,,,,,,,,,,,,,
2561,FKM08050106,Cosmocampus albirostris,1,55,,,,,,,,,,,,,,,,,,,
2562,FKM08050107,Lactophrys trigonus,1,13,,,,,,,,,,,,,,,,,,,
2563,FKM08050107,Syngnathus scovelli,3,105,90,108,,,,,,,,,,,,,,,,,
2564,FKM08050107,Sphyraena barracuda,1,27,,,,,,,,,,,,,,,,,,,
2565,FKM08050107,Eucinostomus spp.,11,28,37,34,20,23,11,20,32,30,15,,,,,,,,,,
2566,FKM08050107,Floridichthys carpio,2,44,34,,,,,,,,,,,,,,,,,,
2567,FKM08050107,Bathygobius soporator,1,37,,,,,,,,,,,,,,,,,,,
2568,FKM08050107,Farfantepenaeus duorarum,5,10,7,9,8,10,,,,,,,,,,,,,,,
2569,FKM08050107,Ctenogobius saepepallens,3,18,20,15,,,,,,,,,,,,,,,,,
2570,FKM08050107,Lagodon rhomboides,1,13,,,,,,,,,,,,,,,,,,,
2571,FKM08050108,Strongylura notata,5,82,93,72,52,68,,,,,,,,,,,,,,,
2572,FKM08050108,Farfantepenaeus duorarum,2,20,8,,,,,,,,,,,,,,,,,,
2573,FKM08050108,Eucinostomus gula,4,55,55,57,70,,,,,,,,,,,,,,,,
2574,FKM08050108,Eucinostomus harengulus,10,60,62,62,72,55,50,72,45,54,68,,,,,,,,,,
2575,FKM08050108,Eucinostomus spp.,95,32,36,37,22,38,28,25,36,25,25,,,,,,,,,,
2576,FKM08050108,Sphyraena barracuda,3,32,39,43,,,,,,,,,,,,,,,,,
2577,FKM08050108,Floridichthys carpio,92,25,35,35,27,35,25,32,34,32,35,,,,,,,,,,
2578,FKM08050108,Lucania parva,19,30,32,25,35,29,35,32,24,35,25,,,,,,,,,,
2579,FKM08050109,Acanthostracion quadricornis,1,56,,,,,,,,,,,,,,,,,,,
2580,FKM08050109,Lactophrys trigonus,1,115,,,,,,,,,,,,,,,,,,,
2581,FKM08050109,Strongylura notata,2,94,70,,,,,,,,,,,,,,,,,,
2582,FKM08050109,Hippocampus erectus,1,93,,,,,,,,,,,,,,,,,,,
2583,FKM08050109,Eucinostomus harengulus,3,75,57,68,,,,,,,,,,,,,,,,,
2584,FKM08050109,Lucania parva,2,20,15,,,,,,,,,,,,,,,,,,
2585,FKM08050110,Acanthostracion quadricornis,2,145,52,,,,,,,,,,,,,,,,,,
2586,FKM08050110,Lactophrys trigonus,3,50,190,100,,,,,,,,,,,,,,,,,
2587,FKM08050110,Eucinostomus spp.,28,39,39,39,39,27,27,30,36,27,39,,,,,,,,,,
2588,FKM08050110,Ostraciidae spp.,2,13,11,,,,,,,,,,,,,,,,,,
2589,FKM08050110,Strongylura notata,1,136,,,,,,,,,,,,,,,,,,,
2590,FKM08050110,Haemulon parra,1,35,,,,,,,,,,,,,,,,,,,
2591,FKM08050110,Syngnathus floridae,1,160,,,,,,,,,,,,,,,,,,,
2592,FKM08050110,Haemulon plumierii,5,20,19,20,20,20,,,,,,,,,,,,,,,
2593,FKM08050110,Eucinostomus jonesii,12,45,50,45,45,47,42,42,48,42,48,,,,,,,,,,
2594,FKM08060101,Eucinostomus spp.,12,24,24,28,25,32,28,32,31,35,19,,,,,,,,,,
2595,FKM08060101,Haemulon plumierii,2,23,33,,,,,,,,,,,,,,,,,,
2596,FKM08060101,Eucinostomus gula,1,42,,,,,,,,,,,,,,,,,,,
2597,FKM08060101,Haemulon spp.,1,18,,,,,,,,,,,,,,,,,,,
2598,FKM08060101,Syngnathus scovelli,1,82,,,,,,,,,,,,,,,,,,,
2599,FKM08060101,Bathygobius spp.,1,20,,,,,,,,,,,,,,,,,,,
2600,FKM08060102,Syngnathus scovelli,4,105,110,103,91,,,,,,,,,,,,,,,,
2601,FKM08060102,Lactophrys trigonus,1,42,,,,,,,,,,,,,,,,,,,
2602,FKM08060103,Haemulon parra,1,21,,,,,,,,,,,,,,,,,,,
2603,FKM08060103,Syngnathus scovelli,2,137,76,,,,,,,,,,,,,,,,,,
2604,FKM08060103,Syngnathus floridae,1,128,,,,,,,,,,,,,,,,,,,
2605,FKM08060104,Strongylura notata,6,152,91,131,91,67,62,,,,,,,,,,,,,,
2606,FKM08060104,Eucinostomus gula,6,60,41,52,57,50,45,,,,,,,,,,,,,,
2607,FKM08060104,Hypoatherina harringtonensis,58,21,24,28,26,19,36,32,26,23,25,,,,,,,,,,
2608,FKM08060104,Haemulon plumierii,1,61,,,,,,,,,,,,,,,,,,,
2609,FKM08060105,Strongylura notata,1,77,,,,,,,,,,,,,,,,,,,
2610,FKM08060105,Eucinostomus harengulus,2,67,53,,,,,,,,,,,,,,,,,,
2611,FKM08060105,Lutjanus apodus,1,71,,,,,,,,,,,,,,,,,,,
2612,FKM08060105,Syngnathus scovelli,2,96,117,,,,,,,,,,,,,,,,,,
2613,FKM08060105,Lagodon rhomboides,2,54,53,,,,,,,,,,,,,,,,,,
2614,FKM08060105,Sphyraena barracuda,1,38,,,,,,,,,,,,,,,,,,,
2615,FKM08060105,Haemulon plumierii,2,26,25,,,,,,,,,,,,,,,,,,
2616,FKM08060105,Haemulon parra,1,28,,,,,,,,,,,,,,,,,,,
2617,FKM08060105,Haemulon sciurus,9,21,28,13,19,19,17,23,18,21,,,,,,,,,,,
2618,FKM08060105,Haemulon spp.,3,18,17,17,,,,,,,,,,,,,,,,,
2619,FKM08060106,Strongylura notata,3,162,93,128,,,,,,,,,,,,,,,,,
2620,FKM08060106,Stephanolepis hispidus,1,46,,,,,,,,,,,,,,,,,,,
2621,FKM08060106,Eucinostomus spp.,2,16,15,,,,,,,,,,,,,,,,,,
2622,FKM08060107,Hypoatherina harringtonensis,50,26,26,24,22,22,24,28,25,19,23,,,,,,,,,,
2623,FKM08060107,Bathygobius soporator,2,27,25,,,,,,,,,,,,,,,,,,
2624,FKM08060107,Coryphopterus glaucofraenum,3,35,27,22,,,,,,,,,,,,,,,,,
2625,FKM08060107,Eucinostomus spp.,35,13,32,13,11,13,13,15,29,14,13,,,,,,,,,,
2626,FKM08060107,Lactophrys trigonus,1,44,,,,,,,,,,,,,,,,,,,
2627,FKM08060107,Eucinostomus jonesii,1,43,,,,,,,,,,,,,,,,,,,
2628,FKM08060107,Hippocampus erectus,1,35,,,,,,,,,,,,,,,,,,,
2629,FKM08060107,Haemulon sciurus,4,24,18,25,25,,,,,,,,,,,,,,,,
2630,FKM08060107,Ctenogobius saepepallens,4,23,27,23,23,,,,,,,,,,,,,,,,
2631,FKM08060107,Calamus arctifrons,1,72,,,,,,,,,,,,,,,,,,,
2632,FKM08060107,Panulirus argus,1,8,,,,,,,,,,,,,,,,,,,
2633,FKM08060107,Eucinostomus gula,1,45,,,,,,,,,,,,,,,,,,,
2634,FKM08060107,Lutjanus synagris,1,30,,,,,,,,,,,,,,,,,,,
2635,FKM08060107,Sparisoma chrysopterum,1,50,,,,,,,,,,,,,,,,,,,
2636,FKM08060107,Sphoeroides nephelus,1,30,,,,,,,,,,,,,,,,,,,
2637,FKM08060107,Haemulon spp.,1,15,,,,,,,,,,,,,,,,,,,
2638,FKM08060108,Haemulon sciurus,63,50,37,36,35,34,35,28,32,41,30,,,,,,,,,,
2639,FKM08060108,Lagodon rhomboides,35,55,50,76,44,49,39,25,48,50,39,,,,,,,,,,
2640,FKM08060108,Eucinostomus gula,25,48,64,55,42,40,44,40,44,39,37,,,,,,,,,,
2641,FKM08060108,Eucinostomus spp.,11,32,23,21,17,16,18,21,36,31,32,,,,,,,,,,
2642,FKM08060108,Monacanthus ciliatus,1,27,,,,,,,,,,,,,,,,,,,
2643,FKM08060108,Syngnathus scovelli,6,114,76,93,112,105,99,,,,,,,,,,,,,,
2644,FKM08060108,Strongylura notata,1,70,,,,,,,,,,,,,,,,,,,
2645,FKM08060108,Ocyurus chrysurus,2,28,36,,,,,,,,,,,,,,,,,,
2646,FKM08060108,Archosargus rhomboidalis,2,29,35,,,,,,,,,,,,,,,,,,
2647,FKM08060108,Haemulon plumierii,2,38,40,,,,,,,,,,,,,,,,,,
2648,FKM08060108,Balistidae spp.,1,9,,,,,,,,,,,,,,,,,,,
2649,FKM08060108,Sphyraena barracuda,1,50,,,,,,,,,,,,,,,,,,,
2650,FKM08060108,Sparisoma spp.,1,17,,,,,,,,,,,,,,,,,,,
2651,FKM08060108,Lutjanus synagris,1,28,,,,,,,,,,,,,,,,,,,
2652,FKM08060108,Lutjanus analis,2,18,16,,,,,,,,,,,,,,,,,,
2653,FKM08060109,Eucinostomus spp.,8,20,38,34,31,34,20,10,14,,,,,,,,,,,,
2654,FKM08060109,Malacoctenus macropus,1,44,,,,,,,,,,,,,,,,,,,
2655,FKM08060109,Haemulon sciurus,6,22,19,24,29,23,20,,,,,,,,,,,,,,
2656,FKM08060109,Haemulon plumierii,1,30,,,,,,,,,,,,,,,,,,,
2657,FKM08060109,Monacanthus ciliatus,1,28,,,,,,,,,,,,,,,,,,,
2658,FKM08060109,Eucinostomus harengulus,1,63,,,,,,,,,,,,,,,,,,,
2659,FKM08060109,Haemulon parra,1,27,,,,,,,,,,,,,,,,,,,
2660,FKM08060110,Sphyraena barracuda,1,78,,,,,,,,,,,,,,,,,,,
2661,FKM08060110,Lactophrys trigonus,1,40,,,,,,,,,,,,,,,,,,,
2662,FKM08060110,Sphoeroides spengleri,1,82,,,,,,,,,,,,,,,,,,,
2663,FKM08060110,Syngnathus scovelli,3,105,121,129,,,,,,,,,,,,,,,,,
2664,FKM08060110,Syngnathus floridae,2,151,138,,,,,,,,,,,,,,,,,,
2665,FKM08060110,Strongylura notata,1,79,,,,,,,,,,,,,,,,,,,
2666,FKM08060110,Eucinostomus spp.,8,39,34,28,32,31,30,35,10,,,,,,,,,,,,
2667,FKM08060110,Atherinomorus stipes,4,24,22,20,22,,,,,,,,,,,,,,,,
2668,FKM08060110,Haemulon plumierii,2,20,29,,,,,,,,,,,,,,,,,,
2669,FKM08060110,Stephanolepis hispidus,1,10,,,,,,,,,,,,,,,,,,,
2670,FKM08060110,Haemulon sciurus,8,20,25,25,21,21,20,22,22,,,,,,,,,,,,
2671,FKM08070101,Sphyraena barracuda,1,67,,,,,,,,,,,,,,,,,,,
2672,FKM08070101,Strongylura notata,2,81,73,,,,,,,,,,,,,,,,,,
2673,FKM08070101,Eucinostomus harengulus,5,48,49,40,46,51,,,,,,,,,,,,,,,
2674,FKM08070101,Eucinostomus gula,40,49,50,48,43,41,42,41,56,49,44,,,,,,,,,,
2675,FKM08070101,Eucinostomus spp.,21,34,34,38,37,37,30,28,38,28,22,,,,,,,,,,
2676,FKM08070101,Eucinostomus lefroyi,1,45,,,,,,,,,,,,,,,,,,,
2677,FKM08070101,Sparisoma chrysopterum,3,71,54,41,,,,,,,,,,,,,,,,,
2678,FKM08070101,Stephanolepis hispidus,8,16,17,21,18,18,19,20,28,,,,,,,,,,,,
2679,FKM08070101,Monacanthus ciliatus,3,20,28,23,,,,,,,,,,,,,,,,,
2680,FKM08070101,Haemulon sciurus,3,26,26,18,,,,,,,,,,,,,,,,,
2681,FKM08070101,Haemulon plumierii,3,32,25,30,,,,,,,,,,,,,,,,,
2682,FKM08070101,Syngnathus scovelli,1,96,,,,,,,,,,,,,,,,,,,
2683,FKM08070101,Haemulon parra,19,22,25,23,20,28,24,23,28,37,24,,,,,,,,,,
2684,FKM08070101,Lutjanus analis,1,30,,,,,,,,,,,,,,,,,,,
2685,FKM08070101,Haemulon flavolineatum,3,28,30,29,,,,,,,,,,,,,,,,,
2686,FKM08070102,Bathygobius spp.,8,33,35,35,29,28,30,29,26,,,,,,,,,,,,
2687,FKM08070102,Eucinostomus spp.,10,19,19,19,21,17,18,39,34,33,34,,,,,,,,,,
2688,FKM08070102,Stephanolepis hispidus,3,17,14,17,,,,,,,,,,,,,,,,,
2689,FKM08070102,Eucinostomus gula,3,80,78,70,,,,,,,,,,,,,,,,,
2690,FKM08070102,Lutjanus apodus,1,25,,,,,,,,,,,,,,,,,,,
2691,FKM08070102,Monacanthus ciliatus,1,25,,,,,,,,,,,,,,,,,,,
2692,FKM08070102,Floridichthys carpio,1,14,,,,,,,,,,,,,,,,,,,
2693,FKM08070102,Lutjanus griseus,1,17,,,,,,,,,,,,,,,,,,,
2694,FKM08070103,Eucinostomus spp.,9,29,20,38,36,38,38,38,34,36,,,,,,,,,,,
2695,FKM08070103,Sphoeroides spengleri,6,57,58,55,42,53,58,,,,,,,,,,,,,,
2696,FKM08070103,Stephanolepis hispidus,19,28,22,16,23,22,32,25,23,20,20,,,,,,,,,,
2697,FKM08070103,Malacoctenus macropus,2,26,20,,,,,,,,,,,,,,,,,,
2698,FKM08070103,Lactophrys trigonus,1,30,,,,,,,,,,,,,,,,,,,
2699,FKM08070103,Eucinostomus gula,2,59,48,,,,,,,,,,,,,,,,,,
2700,FKM08070103,Haemulon parra,1,16,,,,,,,,,,,,,,,,,,,
2701,FKM08070103,Eucinostomus harengulus,2,44,46,,,,,,,,,,,,,,,,,,
2702,FKM08070103,Strongylura notata,1,62,,,,,,,,,,,,,,,,,,,
2703,FKM08070104,Gerres cinereus,1,215,,,,,,,,,,,,,,,,,,,
2704,FKM08070104,Harengula jaguana,67,43,45,48,43,44,45,43,44,44,44,,,,,,,,,,
2705,FKM08070104,Atherinomorus stipes,138,37,34,34,35,32,25,33,33,31,24,,,,,,,,,,
2706,FKM08070104,Eucinostomus spp.,10,14,17,24,31,14,19,20,12,21,34,,,,,,,,,,
2707,FKM08070104,Stephanolepis hispidus,3,8,17,14,,,,,,,,,,,,,,,,,
2708,FKM08070104,Bathygobius spp.,20,29,24,26,24,26,21,24,22,22,26,,,,,,,,,,
2709,FKM08070104,Sphyraena barracuda,1,64,,,,,,,,,,,,,,,,,,,
2710,FKM08070104,Haemulon parra,1,30,,,,,,,,,,,,,,,,,,,
2711,FKM08070104,Bathygobius soporator,1,58,,,,,,,,,,,,,,,,,,,
2712,FKM08070104,Lutjanus analis,3,24,26,22,,,,,,,,,,,,,,,,,
2713,FKM08070105,Harengula jaguana,70,39,44,45,47,39,45,44,47,42,38,,,,,,,,,,
2714,FKM08070105,Abudefduf saxatilis,1,16,,,,,,,,,,,,,,,,,,,
2715,FKM08070105,Lutjanus griseus,8,13,14,18,18,18,42,185,16,,,,,,,,,,,,
2716,FKM08070105,Eucinostomus spp.,7,20,24,16,17,35,34,17,,,,,,,,,,,,,
2717,FKM08070105,Stephanolepis hispidus,6,18,19,18,15,41,14,,,,,,,,,,,,,,
2718,FKM08070105,Acanthostracion quadricornis,1,145,,,,,,,,,,,,,,,,,,,
2719,FKM08070105,Haemulon parra,11,28,41,23,24,32,24,25,23,30,30,,,,,,,,,,
2720,FKM08070105,Lutjanus apodus,4,32,43,46,46,,,,,,,,,,,,,,,,
2721,FKM08070105,Lutjanus analis,3,27,26,21,,,,,,,,,,,,,,,,,
2722,FKM08070105,Eucinostomus gula,1,46,,,,,,,,,,,,,,,,,,,
2723,FKM08070105,Eucinostomus harengulus,3,26,49,40,,,,,,,,,,,,,,,,,
2724,FKM08070105,Bathygobius spp.,5,20,22,24,25,24,,,,,,,,,,,,,,,
2725,FKM08070105,Lutjanus synagris,1,49,,,,,,,,,,,,,,,,,,,
2726,FKM08070105,Archosargus rhomboidalis,1,32,,,,,,,,,,,,,,,,,,,
2727,FKM08070106,Harengula jaguana,1,48,,,,,,,,,,,,,,,,,,,
2728,FKM08070106,Calamus arctifrons,1,100,,,,,,,,,,,,,,,,,,,
2729,FKM08070106,Lactophrys trigonus,5,28,30,91,38,37,,,,,,,,,,,,,,,
2730,FKM08070106,Anarchopterus criniger,1,57,,,,,,,,,,,,,,,,,,,
2731,FKM08070106,Syngnathus scovelli,1,98,,,,,,,,,,,,,,,,,,,
2732,FKM08070106,Stephanolepis hispidus,1,20,,,,,,,,,,,,,,,,,,,
2733,FKM08070201,Sparisoma chrysopterum,2,62,28,,,,,,,,,,,,,,,,,,
2734,FKM08070201,Lactophrys trigonus,1,58,,,,,,,,,,,,,,,,,,,
2735,FKM08070201,Haemulon parra,2,27,24,,,,,,,,,,,,,,,,,,
2736,FKM08070201,Hypoatherina harringtonensis,1,24,,,,,,,,,,,,,,,,,,,
2737,FKM08070201,Eucinostomus spp.,5,18,19,19,17,18,,,,,,,,,,,,,,,
2738,FKM08070201,Stephanolepis hispidus,1,33,,,,,,,,,,,,,,,,,,,
2739,FKM08070201,Sparisoma spp.,1,17,,,,,,,,,,,,,,,,,,,
2740,FKM08070201,Haemulon sciurus,3,50,36,29,,,,,,,,,,,,,,,,,
2741,FKM08070201,Lutjanus analis,1,21,,,,,,,,,,,,,,,,,,,
2742,FKM08070201,Syngnathus floridae,1,168,,,,,,,,,,,,,,,,,,,
2743,FKM08070202,Syngnathus scovelli,4,116,90,101,92,,,,,,,,,,,,,,,,
2744,FKM08070202,Strongylura notata,1,180,,,,,,,,,,,,,,,,,,,
2745,FKM08070202,Haemulon sciurus,2,32,21,,,,,,,,,,,,,,,,,,
2746,FKM08070202,Sparisoma chrysopterum,1,76,,,,,,,,,,,,,,,,,,,
2747,FKM08070202,Lutjanus apodus,1,55,,,,,,,,,,,,,,,,,,,
2748,FKM08070203,Syngnathus floridae,1,129,,,,,,,,,,,,,,,,,,,
2749,FKM08070203,Stephanolepis hispidus,3,17,36,17,,,,,,,,,,,,,,,,,
2750,FKM08070204,Lutjanus griseus,1,191,,,,,,,,,,,,,,,,,,,
2751,FKM08070204,Eucinostomus gula,11,71,46,54,43,46,44,44,45,53,45,,,,,,,,,,
2752,FKM08070204,Haemulon sciurus,2,50,53,,,,,,,,,,,,,,,,,,
2753,FKM08070204,Lutjanus apodus,1,51,,,,,,,,,,,,,,,,,,,
2754,FKM08070204,Eucinostomus spp.,3,24,19,32,,,,,,,,,,,,,,,,,
2755,FKM08070204,Diplectrum formosum,1,32,,,,,,,,,,,,,,,,,,,
2756,FKM08070204,Haemulon parra,3,38,30,29,,,,,,,,,,,,,,,,,
2757,FKM08070204,Sparisoma chrysopterum,3,33,54,35,,,,,,,,,,,,,,,,,
2758,FKM08070204,Lutjanus synagris,1,26,,,,,,,,,,,,,,,,,,,
2759,FKM08070204,Ctenogobius saepepallens,19,22,28,26,25,21,24,22,21,21,30,,,,,,,,,,
2760,FKM08070204,Coryphopterus glaucofraenum,4,22,26,18,17,,,,,,,,,,,,,,,,
2761,FKM08070204,Bathygobius spp.,3,26,27,24,,,,,,,,,,,,,,,,,
2762,FKM08070204,Farfantepenaeus duorarum,2,16,16,,,,,,,,,,,,,,,,,,
2763,FKM08070204,Haemulon flavolineatum,1,24,,,,,,,,,,,,,,,,,,,
2764,FKM08070204,Lutjanus analis,1,61,,,,,,,,,,,,,,,,,,,
2765,FKM08070204,Achirus lineatus,1,45,,,,,,,,,,,,,,,,,,,
2766,FKM08070204,Eleotris spp.,1,67,,,,,,,,,,,,,,,,,,,
2767,FKM08080101,Haemulon aurolineatum,1,42,,,,,,,,,,,,,,,,,,,
2768,FKM08080101,Haemulon plumierii,15,46,37,42,43,43,43,53,53,43,51,,,,,,,,,,
2769,FKM08080101,Eucinostomus gula,30,42,47,56,51,53,47,62,41,53,58,,,,,,,,,,
2770,FKM08080101,Eucinostomus spp.,65,24,19,19,21,23,18,24,25,21,31,,,,,,,,,,
2771,FKM08080101,Haemulon parra,8,53,51,71,70,55,37,68,21,,,,,,,,,,,,
2772,FKM08080101,Haemulon sciurus,12,54,52,47,73,34,43,67,47,61,45,,,,,,,,,,
2773,FKM08080101,Archosargus rhomboidalis,5,82,72,83,49,53,,,,,,,,,,,,,,,
2774,FKM08080101,Lagodon rhomboides,4,63,80,78,71,,,,,,,,,,,,,,,,
2775,FKM08080101,Lutjanus apodus,2,61,62,,,,,,,,,,,,,,,,,,
2776,FKM08080101,Lutjanus griseus,1,122,,,,,,,,,,,,,,,,,,,
